,index,year,bmi,Vape_Use,Physical_Activity,Television,Electronic_Devices,Grades,race,sex,weight,marijuana_use
125,173574,2015,25.92,1,8,5,7,3,4,2,79.38,1
126,173575,2015,23.3242,1,6,2,3,2,1,2,63.5,1
127,173576,2015,23.6996,2,8,4,4,1,1,2,72.58,2
128,173577,2015,27.2812,1,4,2,1,5,3,2,81.65,1
129,173578,2015,20.9917,2,8,6,5,1,3,2,57.15,1
130,173579,2015,25.8962,2,4,2,5,2,2,2,74.84,2
131,173580,2015,36.1236,2,1,7,7,7,2,2,83.46,2
132,173581,2015,19.8996,2,6,5,5,3,1,2,63.05,2
133,173582,2015,19.5527,2,8,5,2,1,1,2,59.88,2
134,173583,2015,17.9989,1,6,4,2,2,3,2,50.8,2
135,173584,2015,28.5273,2,3,5,7,1,3,2,73.03,2
136,173585,2015,16.73,2,2,1,4,1,4,2,44.45,2
137,173586,2015,27.2994,1,8,3,2,3,1,2,88.45,2
138,173587,2015,18.7945,2,7,5,2,3,2,2,56.25,2
139,173588,2015,26.5781,2,8,7,4,3,1,2,68.04,2
140,173589,2015,17.0474,2,8,4,6,3,2,2,63.5,1
141,173591,2015,18.421,1,8,4,4,3,4,2,61.69,2
142,173592,2015,19.12,2,8,7,6,4,3,2,50.8,2
143,173593,2015,19.2555,2,6,1,3,1,4,2,58.97,2
144,173594,2015,34.7151,2,1,2,7,2,3,2,97.98,2
145,173596,2015,21.7618,2,5,3,6,3,3,2,68.95,2
146,173597,2015,23.7877,2,8,3,6,2,3,2,57.15,2
147,173598,2015,21.9753,2,5,2,5,1,1,2,65.77,2
148,173599,2015,19.4637,2,2,4,2,1,1,2,56.25,2
149,173600,2015,20.3169,1,8,6,6,2,4,2,53.98,2
150,173601,2015,22.4986,2,6,1,7,1,4,2,63.5,2
151,173602,2015,24.3372,2,8,1,6,1,4,2,77.11,2
152,173603,2015,16.0647,2,6,2,4,2,1,2,48.08,2
153,173604,2015,28.0088,2,6,7,1,2,1,2,104.33,2
154,173605,2015,24.5514,1,6,4,3,2,1,2,73.48,1
155,173606,2015,21.1788,2,6,2,3,1,4,2,64.86,2
156,173607,2015,26.3414,2,8,4,7,1,3,2,83.46,2
157,173608,2015,26.6731,1,8,2,2,3,3,2,79.83,2
158,173609,2015,20.0454,2,6,1,7,2,1,2,67.13,2
159,173610,2015,18.7813,1,5,7,5,2,1,2,49.9,2
160,173611,2015,25.0274,1,8,3,2,3,1,2,61.69,1
