,index,year,bmi,Vape_Use,Physical_Activity,Television,Electronic_Devices,Grades,race,sex,weight
102,173542,2015,21.3754,1,3,7,7,2,3,2,60.33
103,173543,2015,18.6593,2,3,1,3,4,1,2,50.8
104,173544,2015,19.8931,2,4,4,5,1,1,2,70.31
105,173545,2015,21.8166,2,7,2,7,2,3,2,63.05
106,173547,2015,21.2169,1,8,3,1,2,1,2,63.5
107,173548,2015,17.7534,2,3,1,1,6,2,2,56.25
108,173549,2015,21,2,6,3,1,3,3,2,68.04
109,173550,2015,17.8934,2,5,2,4,1,1,2,61.24
110,173551,2015,26.357,2,6,6,6,1,1,2,74.39
111,173552,2015,18.8339,1,8,1,2,3,1,2,54.43
112,173553,2015,27.0895,2,8,5,5,1,3,2,90.72
113,173554,2015,19.1488,2,7,3,3,1,1,2,55.34
114,173555,2015,20.4922,1,4,2,1,1,4,2,55.79
115,173556,2015,21.9723,2,6,5,2,2,3,2,63.5
116,173559,2015,25.4256,2,5,3,4,1,1,2,73.48
117,173561,2015,19.9967,1,8,5,2,2,1,2,61.24
118,173562,2015,31.3386,2,2,1,7,2,3,2,88.45
119,173564,2015,29.4759,2,4,5,7,2,4,2,90.27
120,173565,2015,20.1437,2,8,6,3,1,1,2,61.69
121,173567,2015,22.9714,2,8,4,2,2,3,2,81.19
122,173568,2015,20.9982,1,1,1,3,5,4,2,55.79
123,173569,2015,23.0352,1,6,5,4,1,3,2,58.97
124,173570,2015,20.5786,1,8,5,5,4,3,2,49.44
125,173571,2015,18.8283,2,8,2,3,1,1,2,51.26
126,173572,2015,21.9753,2,7,2,1,1,1,2,65.77
127,173573,2015,21.9723,1,8,4,4,2,2,2,63.5
128,173574,2015,25.92,1,8,5,7,3,4,2,79.38
129,173575,2015,23.3242,1,6,2,3,2,1,2,63.5
130,173576,2015,23.6996,2,8,4,4,1,1,2,72.58
131,173577,2015,27.2812,1,4,2,1,5,3,2,81.65
132,173578,2015,20.9917,2,8,6,5,1,3,2,57.15
133,173579,2015,25.8962,2,4,2,5,2,2,2,74.84
134,173580,2015,36.1236,2,1,7,7,7,2,2,83.46
135,173581,2015,19.8996,2,6,5,5,3,1,2,63.05
136,173582,2015,19.5527,2,8,5,2,1,1,2,59.88
