,index,year,bmi,Vape Use,Physical Activity,Television,Electronic Devices,Grades,race,sex
2715,192840,2017,18.3401,1,1,1,1,1,1,2
2716,192841,2017,23.2284,2,1,1,1,1,3,2
2717,192842,2017,17.2664,2,1,1,1,1,1,2
2718,192843,2017,19.6319,2,1,1,1,2,3,2
2719,192844,2017,25.7122,1,1,1,1,1,1,2
2720,192846,2017,38.4944,2,1,1,1,1,2,2
2721,192847,2017,22.7338,2,2,1,2,1,1,2
2722,192848,2017,22.3476,2,1,1,1,1,1,2
2723,192850,2017,20.8264,2,1,1,1,1,1,2
2724,192852,2017,17.7731,1,1,1,1,1,1,2
2725,192854,2017,22.3476,2,1,1,1,1,1,2
2726,192857,2017,23.9935,2,4,2,4,1,3,2
2727,192858,2017,22.7578,2,1,1,1,1,2,2
2728,192859,2017,29.519,2,5,6,5,1,1,2
2729,192860,2017,23.8568,1,1,1,1,1,1,2
2730,192861,2017,18.9448,1,1,1,1,1,1,2
2731,192862,2017,23.4024,2,1,1,1,1,1,2
2732,192863,2017,20.0204,2,1,1,1,1,4,2
2733,192864,2017,33.7969,1,2,2,2,1,1,2
2734,192865,2017,17.3554,1,1,1,1,1,1,2
2735,192866,2017,23.1589,2,1,1,1,1,3,2
2736,192868,2017,22.191,2,1,1,1,1,1,2
2737,192869,2017,29.7978,2,1,1,1,3,1,2
2738,192870,2017,23.5433,2,1,1,1,1,1,2
2739,192871,2017,23.1915,1,1,1,1,1,1,2
2740,192872,2017,19.7033,1,1,1,1,1,1,2
2741,192873,2017,18.1827,2,1,1,1,1,1,2
2742,192874,2017,22.7338,2,1,1,1,1,4,2
2743,192875,2017,25.92,1,1,1,1,1,3,2
2744,192877,2017,25.9252,2,5,6,5,2,3,2
2745,192878,2017,16.5878,1,1,1,1,1,1,2
2746,192880,2017,20.1868,1,1,1,1,1,4,2
2747,192881,2017,31.1468,2,2,1,2,1,3,2
2748,192882,2017,35.0745,1,1,1,1,1,4,2
2749,192886,2017,27.1275,1,1,1,1,1,1,2
2750,192887,2017,19.179,2,2,1,2,1,2,2
2751,192888,2017,19.805,2,1,1,1,1,2,2
2752,192890,2017,20.9408,2,2,1,2,1,1,2
2753,192892,2017,23.8581,2,1,1,1,1,3,2
2754,192893,2017,19.3284,1,1,1,1,1,4,2
2755,192894,2017,18.3511,2,1,1,1,1,4,2
2756,192895,2017,20.8576,2,1,1,1,1,1,2
2757,192896,2017,26.0554,2,1,1,1,2,3,2
2758,192899,2017,20.5711,1,1,1,1,1,4,2
2759,192901,2017,19.1832,2,2,1,2,2,4,2
2760,192902,2017,18.3287,2,1,1,1,1,2,2
2761,192903,2017,21.9753,2,1,1,1,1,2,2
2762,192904,2017,28.9293,2,1,1,1,1,3,2
2763,192905,2017,20.7581,2,3,1,3,1,2,2
2764,192907,2017,19.9967,1,1,1,1,1,2,2
2765,192909,2017,20.375,2,1,1,1,1,4,2
2766,192912,2017,18.4709,1,1,1,1,1,2,2
2767,192913,2017,22.4986,2,1,1,1,2,3,2
2768,192918,2017,18.5143,2,5,6,5,4,1,2
2769,192919,2017,23.0988,2,1,1,1,1,4,2
2770,192920,2017,39.0098,2,1,1,1,1,2,2
2771,192921,2017,25.4829,2,1,1,1,1,2,2
2772,192922,2017,20.5353,2,2,1,2,3,2,2
2773,192924,2017,19.3284,2,1,1,1,2,2,2
2774,192925,2017,18.9626,2,1,1,1,1,2,2
2775,192926,2017,22.821,1,1,1,1,1,2,2
2776,192927,2017,32.1001,1,1,1,1,1,2,2
2777,192929,2017,28.5795,2,1,1,1,1,2,2
2778,192931,2017,25.7643,2,1,1,1,1,2,2
2779,192932,2017,20.8936,2,1,1,1,1,2,2
2780,192933,2017,24.3372,2,1,1,1,1,1,2
2781,192934,2017,19.2508,1,1,1,1,1,1,2
2782,192935,2017,25.7157,2,4,3,4,1,1,2
2783,192936,2017,18.7813,2,4,5,4,1,1,2
2784,192937,2017,17.9663,2,1,1,1,1,1,2
2785,192940,2017,27.3994,6,6,6,6,6,3,2
2786,192941,2017,30.1607,1,1,1,1,1,1,2
2787,192942,2017,19.285,2,1,1,1,1,1,2
